001##01 阿含部類 T01-02,25,33
001001##0001-25 長阿含經類 T01
001001001##0001 長阿含經(22卷)
006001002028##0337 佛說阿闍貰王女阿術達菩薩經(1卷)
006001002029##0338 佛說離垢施女經(1卷)
006001002030##0339 得無垢女經(1卷)
006001002031##0340 文殊師利所說不思議佛境界經(2卷)
006001002032##0341 聖善住意天子所問經(3卷)
006001002033##0342 佛說如幻三昧經(2卷)
006001002034##0343 佛說太子刷護經(1卷)
006001002035##0344 佛說太子和休經(1卷)
006001002036##0345 慧上菩薩問大善權經(2卷)
006001002037##0346 佛說大方廣善巧方便經(4卷)
006001002038##0347 大乘顯識經(2卷)
006001002039##0348 佛說大乘方等要慧經(1卷)
006001002040##0349 彌勒菩薩所問本願經(1卷)
006001002041##0350 佛說遺日摩尼寶經(1卷)
006001002042##0351 佛說摩訶衍寶嚴經(1卷)
006001002043##0352 佛說大迦葉問大寶積正法經(5卷)
006001002044##0353 勝鬘師子吼一乘大方便方廣經(1卷)
006001002045##0354 毘耶娑問經(2卷)
006001003##0355-56 入法界體性經等
006001003001##0355 入法界體性經(1卷)
006001003002##0356 佛說寶積三昧文殊師利菩薩問法身經(1卷)
006001004##0357-59 如智慧光明佛境界經等
006001004001##0357 如來莊嚴智慧光明入一切佛境界經(2卷)
006001004002##0358 度一切諸佛境界智嚴經(1卷)
006001004003##0359 佛說大乘入諸佛境界智光明莊嚴經(5卷)
006002##0353 勝鬘經 T12a／疏 T37,85
006002001##0353 勝鬘師子吼一乘大方便方廣經(1卷)
006002002##1744 勝鬘寶窟(6卷)T37
006002003##2761-63 勝鬘經古逸疏 T85
006002003001##2761 勝鬘經記 1卷
006002003002##2762 勝鬘經疏 1卷
006002003003##2763 挾注勝鬘經 1卷
006003##0360-73 淨土經 T11-12／論 T26a／疏 T37,40b,85
006003001##0360-64 無量壽經 T11-12／疏 T37,85
006003001001##0360-64 無量壽經類
006003001001001##0360 佛說無量壽經 2 康僧鎧
006003001001002##0361 佛說無量清淨平等覺經 4 支婁迦讖
006003001001003##0362 佛說阿彌陀三耶三佛薩樓佛檀過度人道經 2 支謙
006003001001004##0363 佛說大乘無量壽莊嚴經 3 法賢
006003001001005##0364 佛說大阿彌陀經 2 王日休
006003001002##1745-48 無量壽經疏 T37
006003001002001##1745 無量壽經義疏(2卷)
006003001002002##1746 無量壽經義疏(1卷)
006003001002003##1747 兩卷無量壽經宗要(1卷)
006003001002004##1748 無量壽經連義述文贊(3卷)
006003001003##2759-60 無量壽經古逸疏 T85
006003001003001##2759 無量壽經義記卷下 1卷
006003001003002##2760 無量壽觀經義記 1卷
006003002##0365 觀無量壽經 T12／疏 T37
006003002001##0365 佛說觀無量壽佛經 1 彊良耶舍
006003002002##1749-54 觀無量壽經疏 T37
006003002002001##1749 觀無量壽經義疏(2卷)
006003002002002##1750 觀無量壽佛經疏(1卷)
006003002002003##1751 觀無量壽佛經疏妙宗鈔(6卷)
006003002002004##1752 觀無量壽經義疏(1卷)
006003002002005##1753 觀無量壽佛經疏(4卷)
006003002002006##1754 觀無量壽佛經義疏(3卷)
006003003##0366-67 阿彌陀經 T12／疏 T37
006003003001##0366 佛說阿彌陀經 1 鳩摩羅什
006003003002##0367 稱讚淨土佛攝受經 1 玄奘
006003003003##1755-62 阿彌陀經疏 T37
006003003003001##1755 阿彌陀經義記(1卷)
006003003003002##1756 阿彌陀經義述(1卷)
006003003003003##1757 阿彌陀經疏(1卷)
006003003003004##1758 阿彌陀經通贊疏(3卷)
006003003003005##1759 阿彌陀經疏(1卷)
006003003003006##1760 阿彌陀經疏(1卷)
006003003003007##1761 阿彌陀經義疏(1卷)
006003003003008##1762 阿彌陀經要解(1卷)
006003004##0368-73 其他淨土經咒 T12
006003004001##0368 拔一切業障根本得生淨土神咒 1 求那跋陀羅
006003004002##0369 阿彌陀佛說咒 1
006003004003##0370 阿彌陀鼓音聲王陀羅尼經 1
006003004004##0371 觀世音菩薩授記經 1 曇無竭
006003004005##0372 佛說如幻三摩地無量印法門經 3 施護
006003004006##0373 後出阿彌陀佛偈 1
006003005##1524 往生論 T26a／註 T40b
006003005001##1524 無量壽經優波提舍 1 菩提流支
006003005002##1819 無量壽經優婆提舍願生偈註 2 曇鸞
006004##1523,25 寶積經釋論 T26a
006004001##1523 大寶積經論(4卷)
006004002##1525 彌勒菩薩所問經論(9卷)
007##07 涅槃部類 T12b,26a,37-38,40b,85
007001##0374-76 涅槃經 T12b／疏 T37-38,85
007001001##0374 涅槃經北本 T12b／疏 T37
007001001001##0374 大般涅槃經(40卷)
007001001002##1764 涅槃義記 10 慧遠
007001002##0375 涅槃經南本 T12b／疏 T37-38,85
007001002001##0375 大般涅槃經(36卷)
007001002002##1763 涅槃集解 71 寶亮等
007001002003##1765 涅槃玄義 2 灌頂
007001002004##1766 涅槃玄義發源 4 智圓
007001002005##1767 涅槃經疏 33 灌頂
007001002006##1768 涅槃游意 1 吉藏
007001002007##1769 涅槃宗要 1 元曉
007001002008##2764-65 涅槃經古逸疏 T85
007001002008001##2764A 涅槃經義記 1卷
007001002008002##2764B 大涅槃經義記卷第四 1卷
007001002008003##2765 涅槃經疏 1卷
007001003##0376 佛說大般泥洹經(6卷)
007002##0377-96 涅槃經餘 T12b
007002001##0377 大般涅槃經後分(2卷)
007002002##0378-80 泥洹經支分
007002002001##0378 佛說方等般泥洹經(2卷)
007002002002##0379 四童子三昧經(3卷)
007002002003##0380 大悲經(5卷)
007002003##0381-82 眾德三昧
007002003001##0381 等集眾德三昧經(3卷)
007002003002##0382 集一切福德三昧經(3卷)
007002004##0383 摩訶摩耶經(2卷)
007002005##0384 菩薩從兜術天降神母胎說廣普經(7卷)
007002006##0385 中陰經(2卷)
007002007##0386 蓮華面經(2卷)
007002008##0387 大方等無想經(6卷)
007002009##0388 大雲無想經卷第九(1卷)
007002010##0390 佛臨涅槃記法住經(1卷)
007002011##0391 般泥洹後灌臘經(1卷)
007002012##0392 佛滅度後棺斂葬送經(1卷)
007002013##0393 迦葉赴佛般涅槃經(1卷)
007002014##0394 佛入涅槃密&CB00528;金剛力士哀戀經(1卷)
007002015##0395 佛說當來變經(1卷)
007002016##0396 佛說法滅盡經(1卷)
007003##0389 遺教經 T12b／論 T26a／疏 T40b
007003001##0389 佛垂般涅槃略說教誡經(1卷)
007003002##1529 遺教經論(1卷)
007003003##1820 佛遺教經論疏節要(1卷)
007004##1527-28 涅槃經釋論 T26a
007004001##1527 涅槃論(1卷)
007004002##1528 涅槃經本有今無偈論(1卷)
008##08 大集部類 T13,26a
008001##0397 大方等大集經(60卷) T13
008002##0398-424 大集經餘 T13
008002001##0398 大哀經(8卷)
008002002##0399 寶女所問經(4卷)
008002003##0400 佛說海意菩薩所問淨印法門經(18卷)
008002004##0401 佛說無言童子經(2卷)
008002005##0402 寶星陀羅尼經(10卷)
008002006##0403 阿差末菩薩經(7卷)
008002007##0404 大集大虛空藏菩薩所問經(8卷)
008002008##0405 虛空藏菩薩經(1卷)
008002009##0406 虛空藏菩薩神咒經(1卷)
008002010##0407 虛空藏菩薩神&CB00057;經(1卷)
008002011##0408 虛空孕菩薩經(2卷)
008002012##0409 觀虛空藏菩薩經(1卷)
008002013##0410 大方廣十輪經(8卷)
008002014##0411 大乘大集地藏十輪經(10卷)
008002015##0412 地藏菩薩本願經(2卷)
008002016##0413 百千頌大集經地藏菩薩請問法身讚(1卷)
008002017##0414 菩薩念佛三昧經(5卷)
008002018##0415 大方等大集經菩薩念佛三昧分(10卷)
008002019##0416 大方等大集經賢護分(5卷)
008002020##0417 般舟三昧經(1卷)
008002021##0418 般舟三昧經(3卷)
008002022##0419 拔陂菩薩經(1卷)
008002023##0420 自在王菩薩經(2卷)
008002024##0421 奮迅王問經(2卷)
008002025##0422 大集譬喻王經(2卷)
008002026##0423 僧伽吒經(4卷)
008002027##0424 大集會正法經(5卷)
008003##1526 寶髻經四法憂波提舍(1卷) T26a
009##09 經集部類 T14-17,19,21,26a,38-39,85
009001##0425-448 佛名經類 T14
009001001##0425 賢劫經(8卷)
009001002##0426 佛說千佛因緣經(1卷)
009001003##0427 佛說八吉祥神&CB00057;經(1卷)
009001004##0428 佛說八陽神&CB00057;經(1卷)
009001005##0429 佛說八部佛名經(1卷)
009001006##0430 八吉祥經(1卷)
009001007##0431 八佛名號經(1卷)
009001008##0432 佛說十吉祥經(1卷)
009001009##0433 佛說寶網經(1卷)
009001010##0434 佛說稱揚諸佛功德經(3卷)
009001011##0435 佛說滅十方冥經(1卷)
009001012##0436 受持七佛名號所生功德經(1卷)
009001013##0437 大乘寶月童子問法經(1卷)
009001014##0438 佛說大乘大方廣佛冠經(2卷)
009001015##0439 佛說諸佛經(1卷)
009001016##0440 佛說佛名經(12卷)
009001017##0441 佛說佛名經(30卷)
009001018##0442 十方千五百佛名經(1卷)
009001019##0443 五千五百佛名神&CB00057;除障滅罪經(8卷)
009001020##0444 佛說百佛名經(1卷)
009001021##0445 佛說不思議功德諸佛所護念經(2卷)
009001022##0446a 過去莊嚴劫千佛名經(1卷)
009001023##0446b 過去莊嚴劫千佛名經(1卷)
009001024##0447a 現在賢劫千佛名經(1卷)
009001025##0447b 現在賢劫千佛名經(1卷)
009001026##0448a 未來星宿劫千佛名經(1卷)
009001027##0448b 未來星宿劫千佛名經(1卷)
009002##0449-457 諸佛本願經類 T14,19,21／疏 T38,T85
009002001##彌勒經類 T14／疏 T38
009002001001##0452 佛說觀彌勒菩薩上生兜率天經(1卷)
009002001002##0453 佛說彌勒下生經(1卷)
009002001003##0454 佛說彌勒下生成佛經(1卷)
009002001004##0455 佛說彌勒下生成佛經(1卷)
009002001005##0456 佛說彌勒大成佛經(1卷)
009002001006##0457 佛說彌勒來時經(1卷)
009002001007##1771 彌勒經遊意(1卷)
009002001008##1772 觀彌勒上生兜率天經贊(2卷)
009002001009##1773 彌勒上生經宗要(1卷)
009002001010##1774 三彌勒經疏(1卷)
009002002##藥師經類 T14,19,21／疏 T38,85
009002002001##0449 佛說藥師如來本願經(1卷)
009002002002##0450 藥師琉璃光如來本願功德經(1卷)
009002002003##0451 藥師琉璃光七佛本願功德經(2卷)
009002002004##0922 藥師琉璃光如來消災除難念誦儀軌(1卷)
009002002005##1331 佛說灌頂經(12卷)
009002002006##1770 本願藥師經古&CB00528;(2卷)
009002002007##2766-67 藥師經古逸疏 T85
009002002007001##2766 藥師經疏 1卷
009002002007002##2767 藥師經疏 1卷
009003##0458-601 所問經類 T14-15／疏 T38,T85
009003001##0458 文殊師利問菩薩署經(1卷)
009003002##0459 佛說文殊悔過經(1卷)
009003003##0460 佛說文殊師利淨律經(1卷)
009003004##0461 佛說文殊師利現寶藏經(2卷)
009003005##0462 大方廣寶篋經(3卷)
009003006##0463 佛說文殊師利般涅槃經(1卷)
009003007##0464 文殊師利問菩提經(1卷)
009003008##0465 伽耶山頂經(1卷)
009003009##0466 佛說象頭精舍經(1卷)
009003010##0467 大乘伽耶山頂經(1卷)
009003011##0468 文殊師利問經(2卷)
009003012##0469 文殊問經字母品第十四(1卷)
009003013##0470 佛說文殊師利巡行經(1卷)
009003014##0471 佛說文殊師利行經(1卷)
009003015##0472 佛說大乘善見變化文殊師利問法經(1卷)
009003016##0473 佛說妙吉祥菩薩所問大乘法螺經(1卷)
009003017##0474-76 維摩詰經 T14／疏 T38,85
009003017001##0474 佛說維摩詰經(2卷)
009003017002##0475 維摩詰所說經(3卷)
009003017003##0476 說無垢稱經(6卷)
009003017004##1775 注維摩詰經(10卷)
009003017005##1776 維摩義記(8卷)
009003017006##1777 維摩經玄疏(6卷)
009003017007##1778 維摩經略疏(10卷)
009003017008##1779 維摩經略疏垂裕記(10卷)
009003017009##1780 淨名玄論(8卷)
009003017010##1781 維摩經義疏(6卷)
009003017011##1782 說無垢稱經疏(12卷)
009003017012##2768 維摩義記 1卷
009003017013##2769 維摩經義記卷第四 4卷
009003017014##2770 維摩經疏 1卷
009003017015##2771 維摩經疏 1卷
009003017016##2772 維摩經疏卷第三．第六 2卷
009003017017##2773 維摩經抄 1卷
009003017018##2774 維摩經疏 1卷
009003017019##2775 維摩疏釋前小序抄 1卷
009003017020##2776 釋肇序 1卷
009003017021##2777 淨名經集解關中疏 2卷
009003017022##2778 淨名經關中釋抄 2卷
009003017023##2824 天台分門圖 1卷
009003018##0477 佛說大方等頂王經(1卷)
009003019##0478 大乘頂王經(1卷)
009003020##0479 善思童子經(2卷)
009003021##0480 佛說月上女經(2卷)
009003022##0481 持人菩薩經(4卷)
009003023##0482 持世經(4卷)
009003024##0483 三曼陀跋陀羅菩薩經(1卷)
009003025##0484 不思議光菩薩所說經(1卷)
009003026##0485 無所有菩薩經(4卷)
009003027##0486 師子莊嚴王菩薩請問經(1卷)
009003028##0487 離垢慧菩薩所問禮佛法經(1卷)
009003029##0488 寶授菩薩菩提行經(1卷)
009003030##0489 佛說除蓋障菩薩所問經(20卷)
009003031##0490 佛說八大菩薩經(1卷)
009003032##0491 六菩薩亦當誦持經(1卷)
009003033##0492a 佛說阿難問事佛吉凶經(1卷)
009003034##0492b 阿難問事佛吉凶經(1卷)
009003035##0493 佛說阿難四事經(1卷)
009003036##0494 阿難七夢經(1卷)
009003037##0495 佛說阿難分別經(1卷)
009003038##0496 佛說大迦葉本經(1卷)
009003039##0497 佛說摩訶迦葉度貧母經(1卷)
009003040##0498 佛說初分說經(2卷)
009003041##0499 佛為阿支羅迦葉自化作苦經(1卷)
009003042##0500 羅云忍辱經(1卷)
009003043##0501 佛說沙曷比丘功德經(1卷)
009003044##0502 佛為年少比丘說正事經(1卷)
009003045##0503 比丘避女惡名欲自殺經(1卷)
009003046##0504 比丘聽施經(1卷)
009003047##0505 佛說隨勇尊者經(1卷)
009003048##0506 犍陀國王經(1卷)
009003049##0507 佛說未生冤經(1卷)
009003050##0508 阿闍世王問五逆經(1卷)
009003051##0509 阿闍世王授決經(1卷)
009003052##0510 採花違王上佛授決號妙花經(1卷)
009003053##0511 佛說蓱沙王五願經(1卷)
009003054##0512 佛說淨飯王般涅槃經(1卷)
009003055##0513 佛說琉璃王經(1卷)
009003056##0514 佛說諫王經(1卷)
009003057##0515 如來示教勝軍王經(1卷)
009003058##0516 佛說勝軍王所問經(1卷)
009003059##0517 佛說末羅王經(1卷)
009003060##0518 佛說旃陀越國王經(1卷)
009003061##0519 佛說摩達國王經(1卷)
009003062##0520 佛說薩羅國經(1卷)
009003063##0521 佛說梵摩難國王經(1卷)
009003064##0522 普達王經(1卷)
009003065##0523 佛說五王經(1卷)
009003066##0524 佛為優填王說王法政論經(1卷)
009003067##0525 佛說長者子懊惱三處經(1卷)
009003068##0526 佛說長者子制經(1卷)
009003069##0527 佛說逝童子經(1卷)
009003070##0528 佛說菩薩逝經(1卷)
009003071##0529 佛說阿鳩留經(1卷)
009003072##0530 佛說須摩提長者經(1卷)
009003073##0531 佛說長者音悅經(1卷)
009003074##0532 私呵昧經(1卷)
009003075##0533 菩薩生地經(1卷)
009003076##0534 佛說月光童子經(1卷)
009003077##0535 佛說申日經(1卷)
009003078##0536 申日兒本經(1卷)
009003079##0537 佛說越難經(1卷)
009003080##0538 佛說呵鵰阿那鋡經(1卷)
009003081##0539 盧至長者因緣經(1卷)
009003082##0540a 佛說樹提伽經(1卷)
009003083##0540b 佛說樹提伽經(1卷)
009003084##0541 佛說佛大僧大經(1卷)
009003085##0542 佛說耶祇經(1卷)
009003086##0543 佛說巨力長者所問大乘經(3卷)
009003087##0544 辯意長者子經(1卷)
009003088##0545 佛說德護長者經(2卷)
009003089##0546 佛說金耀童子經(1卷)
009003090##0547 大花嚴長者問佛那羅延力經(1卷)
009003091##0548 佛說金光王童子經(1卷)
009003092##0549 佛說光明童子因緣經(4卷)
009003093##0550 金色童子因緣經(12卷)
009003094##0551 佛說摩鄧女經(1卷)
009003095##0552 佛說摩登女解形中六事經(1卷)
009003096##0553 佛說&CB00178;女祇域因緣經(1卷)
009003097##0554 佛說柰女耆婆經(1卷)
009003098##0555a 五母子經(1卷)
009003099##0555b 五母子經(1卷)
009003100##0556 佛說七女經(1卷)
009003101##0557 佛說龍施女經(1卷)
009003102##0558 佛說龍施菩薩本起經(1卷)
009003103##0559 佛說老女人經(1卷)
009003104##0560 佛說老母女六英經(1卷)
009003105##0561 佛說老母經(1卷)
009003106##0562 佛說無垢賢女經(1卷)
009003107##0563 佛說腹中女聽經(1卷)
009003108##0564 佛說轉女身經(1卷)
009003109##0565 順權方便經(2卷)
009003110##0566 樂瓔珞莊嚴方便品經(1卷)
009003111##0567 佛說梵志女首意經(1卷)
009003112##0568 有德女所問大乘經(1卷)
009003113##0569 佛說心明經(1卷)
009003114##0570 佛說賢首經(1卷)
009003115##0571 佛說婦人遇辜經(1卷)
009003116##0572 佛說長者法志妻經(1卷)
009003117##0573 差摩婆帝授記經(1卷)
009003118##0574 佛說堅固女經(1卷)
009003119##0575 佛說大方等修多羅王經(1卷)
009003120##0576 佛說轉有經(1卷)
009003121##0577 佛說大乘流轉諸有經(1卷)
009003122##0578 無垢優婆夷問經(1卷)
009003123##0579 優婆夷淨行法門經(2卷)
009003124##0580 佛說長者女菴提遮師子吼了義經(1卷)
009003125##0581 佛說八師經(1卷)
009003126##0582 佛說孫多耶致經(1卷)
009003127##0583 佛說黑氏梵志經(1卷)
009003128##0584 長爪梵志請問經(1卷)
009003129##0585 持心梵天所問經(4卷)
009003130##0586 思益梵天所問經(4卷)
009003131##0587 勝思惟梵天所問經(6卷)
009003132##0588 佛說須真天子經(4卷)
009003133##0589 佛說魔逆經(1卷)
009003134##0590 佛說四天王經(1卷)
009003135##0591 商主天子所問經(1卷)
009003136##0592 天請問經／疏 T85
009003136001##0592 天請問經(1卷)
009003136002##2786 天請問經疏 1卷
009003137##0593 佛為勝光天子說王法經(1卷)
009003138##0594 佛說大自在天子因地經(1卷)
009003139##0595 佛說嗟&CB00467;曩法天子受三歸依獲免惡道經(1卷)
009003140##0596 佛說天王太子辟羅經(1卷)
009003141##0597 龍王兄弟經(1卷)
009003142##0598 佛說海龍王經(4卷)
009003143##0599 佛為海龍王說法印經(1卷)
009003144##0600 十善業道經(1卷)
009003145##0601 佛為娑伽羅龍王所說大乘經(1卷)
009004##0602-20 禪經類 T15
009004001##0602 佛說大安般守意經(2卷)
009004002##0603 陰持入經(2卷)
009004003##0604 佛說禪行三十七品經(1卷)
009004004##0605 禪行法想經(1卷)
009004005##0606 修行道地經(7卷)
009004006##0607 道地經(1卷)
009004007##0608 小道地經(1卷)
009004008##0609 禪要經(1卷)
009004009##0610 佛說內身觀章句經(1卷)
009004010##0611 法觀經(1卷)
009004011##0612 身觀經(1卷)
009004012##0613 禪祕要法經(3卷)
009004013##0614 坐禪三昧經(2卷)
009004014##0615 菩薩訶色欲法經(1卷)
009004015##0616 禪法要解(2卷)
009004016##0617 思惟略要法(1卷)
009004017##0618 達摩多羅禪經(2卷)
009004018##0619 五門禪經要用法(1卷)
009004019##0620 治禪病祕要法(2卷)
009005##0621-48 三昧經類 T15
009005001##0621 佛說佛印三昧經(1卷)
009005002##0622 佛說自誓三昧經(1卷)
009005003##0623 佛說如來獨證自誓三昧經(1卷)
009005004##0624 佛說伅真陀羅所問如來三昧經(3卷)
009005005##0625 大樹緊那羅王所問經(4卷)
009005006##0626 佛說阿闍世王經(2卷)
009005007##0627 文殊支利普超三昧經(3卷)
009005008##0628 佛說未曾有正法經(6卷)
009005009##0629 佛說放&CB00425;經(1卷)
009005010##0630 佛說成具光明定意經(1卷)
009005011##0631 佛說法律三昧經(1卷)
009005012##0632 佛說慧印三昧經(1卷)
009005013##0633 佛說如來智印經(1卷)
009005014##0634 佛說大乘智印經(5卷)
009005015##0635 佛說弘道廣顯三昧經(4卷)
009005016##0636 無極寶三昧經(2卷)
009005017##0637 佛說寶如來三昧經(2卷)
009005018##0638 佛說超日明三昧經(2卷)
009005019##0639 月燈三昧經(10卷)
009005020##0640 佛說月燈三昧經(1卷)
009005021##0641 佛說月燈三昧經(1卷)
009005022##0642 佛說首楞嚴三昧經(2卷)
009005023##0643 佛說觀佛三昧海經(10卷)
009005024##0644 佛說金剛三昧本性清淨不壞不滅經(1卷)
009005025##0645 不必定入定入印經(1卷)
009005026##0646 入定不定印經(1卷)
009005027##0647 力莊嚴三昧經(3卷)
009005028##0648 寂照神變三摩地經(1卷)
009006##0649-655 法相經類 T15
009006001##0649 觀察諸法行經(4卷)
009006002##0650 諸法無行經(2卷)
009006003##0651 佛說諸法本無經(3卷)
009006004##0652 佛說大乘隨轉宣說諸法經(3卷)
009006005##0653 佛藏經(3卷)
009006006##0654 佛說入無分別法門經(1卷)
009006007##0655 佛說勝義空經(1卷)
009007##0656-62 瓔珞經類 T16
009007001##0656 菩薩瓔珞經(14卷)
009007002##0657 佛說華手經(10卷)
009007003##0658 寶雲經(7卷)
009007004##0659 大乘寶雲經(7卷)
009007005##0660 佛說寶雨經(10卷)
009007006##0661 大乘百福相經(1卷)
009007007##0662 大乘百福莊嚴相經(1卷)
009008##0663-65 金光明經類 T16／疏 T39
009008001##0663 金光明經(4卷)
009008002##0664 合部金光明經(8卷)
009008003##0665 金光明最勝王經(10卷)
009008004##1783 金光明經玄義(2卷)
009008005##1784 金光明經玄義拾遺記(6卷)
009008006##1785 金光明經文句(6卷)
009008007##1786 金光明經文句記(12卷)
009008008##1787 金光明經疏(1卷)
009008009##1788 金光明最勝王經疏(10卷)
009009##0666-69 如來藏經類 T16
009009001##0666 大方等如來藏經(1卷)
009009002##0667 大方廣如來藏經(1卷)
009009003##0668 佛說不增不減經(1卷)
009009004##0669 佛說無上依經(2卷)
009010##0670-74 楞伽經類 T16／疏 T39,85
009010001##0670 楞伽阿跋多羅寶經(4卷)
009010002##0671 入楞伽經(10卷)
009010003##0672 大乘入楞伽經(7卷)
009010004##0673 大乘同性經(2卷)
009010005##0674 證契大乘經(2卷)
009010006##1789 楞伽阿跋多羅寶經註解(8卷)
009010007##1790 入楞伽心玄義(1卷)
009010008##1791 注大乘入楞伽經(10卷)
009010009##2779 佛說楞伽經禪門悉談章 1卷
009011##0675-82 解深密經類 T16
009011001##0675 深密解脫經(5卷)
009011002##0676 解深密經(5卷)
009011003##0677 佛說解節經(1卷)
009011004##0678 相續解脫地波羅蜜了義經(1卷)
009011005##0679 相續解脫如來所作隨順處了義經(1卷)
009011006##0680 佛說佛地經(1卷)
009011007##0681 大乘密嚴經(3卷)
009011008##0682 大乘密嚴經(3卷)
009012##0683-707 福田經類 T16／疏 T39,85
009012001##0683 佛說諸德福田經(1卷)
009012002##0684 佛說父母恩難報經(1卷)
009012003##0685 盂蘭盆經／疏 T39,85
009012003001##0685 佛說盂蘭盆經(1卷)
009012003002##1792 佛說盂蘭盆經疏(2卷)
009012003003##2781 盂蘭盆經讚述 1卷
009012004##0686 佛說報恩奉盆經(1卷)
009012005##0687 佛說孝子經(1卷)
009012006##0688 佛說未曾有經(1卷)
009012007##0689 甚希有經(1卷)
009012008##0690 佛說希有挍量功德經(1卷)
009012009##0691 最無比經(1卷)
009012010##0692 佛說作佛形像經(1卷)
009012011##0693 佛說造立形像福報經(1卷)
009012012##0694 佛說大乘造像功德經(2卷)
009012013##0695 佛說灌洗佛形像經(1卷)
009012014##0696 佛說摩訶剎頭經(1卷)
009012015##0697 佛說浴像功德經(1卷)
009012016##0698 浴佛功德經(1卷)
009012017##0699 佛說造塔功德經(1卷)
009012018##0700 右繞佛塔功德經(1卷)
009012019##0701 溫室經／疏 T39,85
009012019001##0701 佛說溫室洗浴眾僧經(1卷)
009012019002##1793 溫室經義記(1卷)
009012019003##2780 溫室經疏 1卷
009012020##0702 佛說施燈功德經(1卷)
009012021##0703 燈指因緣經(1卷)
009012022##0704 佛說樓閣正法甘露鼓經(1卷)
009012023##0705 佛說布施經(1卷)
009012024##0706 佛說五大施經(1卷)
009012025##0707 佛說出家功德經(1卷)
009013##0708-20 緣生經類 T16／疏 T85
009013001##0708-12 稻&CB00023;經／疏 T85
009013001001##0708 了本生死經(1卷)
009013001002##0709 佛說稻&CB00023;經(1卷)
009013001003##0710 慈氏菩薩所說大乘緣生稻&CB00687;喻經(1卷)
009013001004##0711 大乘舍黎娑擔摩經(1卷)
009013001005##0712 佛說大乘稻&CB00023;經(1卷)
009013001006##2782-83 稻芋經古逸疏
009013001006001##2782 大乘稻芋經隨聽疏 1卷
009013001006002##2783 大乘稻芋經隨聽疏決 1卷
009013002##0713 貝多樹下思惟十二因緣經(1卷)
009013003##0714 緣起聖道經(1卷)
009013004##0715 佛說舊城喻經(1卷)
009013005##0716 緣生初勝分法本經(2卷)
009013006##0717 分別緣起初勝法門經(2卷)
009013007##0718 佛說分別緣生經(1卷)
009013008##0719 十二緣生祥瑞經(2卷)
009013009##0720 無明羅剎集(3卷)
009014##0721-59 業道經類 T17
009014001##0721 正法念處經(70卷)
009014002##0722 妙法聖念處經(8卷)
009014003##0723 分別業報略經(1卷)
009014004##0724 佛說罪業應報教化地獄經(1卷)
009014005##0725 佛說六道伽陀經(1卷)
009014006##0726 六趣輪迴經(1卷)
009014007##0727 十不善業道經(1卷)
009014008##0728 諸法集要經(10卷)
009014009##0729 佛說分別善惡所起經(1卷)
009014010##0730 佛說處處經(1卷)
009014011##0731 佛說十八泥犁經(1卷)
009014012##0732 佛說罵意經(1卷)
009014013##0733 佛說堅意經(1卷)
009014014##0734 佛說鬼問目連經(1卷)
009014015##0735 佛說四願經(1卷)
009014016##0736 佛說四自侵經(1卷)
009014017##0737 所欲致患經(1卷)
009014018##0738 佛說分別經(1卷)
009014019##0739 佛說慢法經(1卷)
009014020##0740 佛說頞多和多耆經(1卷)
009014021##0741 五苦章句經(1卷)
009014022##0742 佛說自愛經(1卷)
009014023##0743 佛說忠心經(1卷)
009014024##0744 佛說除恐災患經(1卷)
009014025##0745 佛說雜藏經(1卷)
009014026##0746 餓鬼報應經(1卷)
009014027##0747a 佛說罪福報應經(1卷)
009014028##0747b 佛說輪轉五道罪福報應經(1卷)
009014029##0748 佛說護淨經(1卷)
009014030##0749 佛說因緣僧護經(1卷)
009014031##0750 沙彌羅經(1卷)
009014032##0751a 佛說五無反復經(1卷)
009014033##0751b 佛說五無返復經(1卷)
009014034##0752 佛說五無返復經(1卷)
009014035##0753 十二品生死經(1卷)
009014036##0754 佛說未曾有因緣經(2卷)
009014037##0755 佛說淨意優婆塞所問經(1卷)
009014038##0756 佛說八無暇有暇經(1卷)
009014039##0757 佛說身毛喜豎經(3卷)
009014040##0758 佛說諸行有為經(1卷)
009014041##0759 佛說較量壽命經(1卷)
009015##0760-84 名數經類 T17
009015001##0760 惟日雜難經(1卷)
009015002##0761 佛說法集經(6卷)
009015003##0762 佛說決定義經(1卷)
009015004##0763 佛說法乘義決定經(3卷)
009015005##0764 佛說法集名數經(1卷)
009015006##0765 本事經(7卷)
009015007##0766 佛說法身經(1卷)
009015008##0767 佛說三品弟子經(1卷)
009015009##0768 三慧經(1卷)
009015010##0769 佛說四輩經(1卷)
009015011##0770 佛說四不可得經(1卷)
009015012##0771 四品學法經(1卷)
009015013##0772 大乘四法經(1卷)
009015014##0773 佛說菩薩修行四法經(1卷)
009015015##0774 大乘四法經(1卷)
009015016##0775 佛說四無所畏經(1卷)
009015017##0776 佛說四品法門經(1卷)
009015018##0777 佛說賢者五福德經(1卷)
009015019##0778 佛說菩薩內習六波羅蜜經(1卷)
009015020##0779 佛說八大人覺經(1卷)
009015021##0780 佛說十力經(1卷)
009015022##0781 佛說佛十力經(1卷)
009015023##0782 佛說十號經(1卷)
009015024##0783 佛說十二頭陀經(1卷)
009015025##0784 四十二章經／疏 T39
009015025001##0784 四十二章經(1卷)
009015025002##1794 註四十二章經(1卷)
009016##0785-89 數珠經等類 T17
009016001##0785 得道梯橙錫杖經(1卷)
